slice,threshold,n,n_positive,frac_one_cluster,frac_clusters_1,frac_clusters_2,frac_clusters_3,frac_clusters_4,frac_clusters_5,mean_entropy,frac_entropy_zero,mean_dispersion,frac_dispersion_clipped,mean_pairwise_distance_min,mean_pairwise_distance_median,mean_pairwise_distance_max,frac_pairwise_above_threshold,auroc_mean_pairwise_distance,auroc_any_variation,distinct_scores_reference_weight,frac_score_zero_reference_weight,frac_score_zero_positives,frac_score_zero_negatives,frac_one_cluster_positives,frac_one_cluster_negatives
model:muse-glimmer-30b,0.5,2698,720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010635925218632318,0.0,0.0,0.0,0.11366931454522558,0.0,0.2988814459049545,0.3622858386698124,1199,0.5244625648628614,0.7263888888888889,0.45096056622851366,1.0,1.0
model:muse-glimmer-30b,0.7,2698,720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.007597089441880226,0.0,0.0,0.0,0.11366931454522558,0.0,0.2988814459049545,0.3622858386698124,1199,0.5244625648628614,0.7263888888888889,0.45096056622851366,1.0,1.0
model:gpt-oss-20b,0.1,1971,675,0.969558599695586,0.969558599695586,0.030441400304414,0.0,0.0,0.0,0.023492620846295997,0.969558599695586,0.2232971679010679,0.0005073566717402334,0.0,0.021095462160551515,0.1344249648251164,0.0005073566717402334,0.6088363054412437,0.5150771604938271,1925,0.0213089802130898,0.0014814814814814814,0.031635802469135804,0.9777777777777777,0.9652777777777778
model:gpt-oss-20b,0.2,1971,675,0.9994926433282597,0.9994926433282597,0.0005073566717402334,0.0,0.0,0.0,0.0003662750354578195,0.9994926433282597,0.11173591262842618,0.0,0.0,0.021095462160551515,0.1344249648251164,0.0,0.6088363054412437,0.5150771604938271,1925,0.0213089802130898,0.0014814814814814814,0.031635802469135804,1.0,0.9992283950617284
model:gpt-oss-20b,0.35,1971,675,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06384909293052925,0.0,0.0,0.021095462160551515,0.1344249648251164,0.0,0.6088363054412437,0.5150771604938271,1925,0.0213089802130898,0.0014814814814814814,0.031635802469135804,1.0,1.0
model:gpt-oss-20b,0.5,1971,675,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04469436505137047,0.0,0.0,0.021095462160551515,0.1344249648251164,0.0,0.6088363054412437,0.5150771604938271,1925,0.0213089802130898,0.0014814814814814814,0.031635802469135804,1.0,1.0
model:gpt-oss-20b,0.7,1971,675,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.031924546465264624,0.0,0.0,0.021095462160551515,0.1344249648251164,0.0,0.6088363054412437,0.5150771604938271,1925,0.0213089802130898,0.0014814814814814814,0.031635802469135804,1.0,1.0
cell:mlm_tapt/must,0.1,6176,1615,0.9941709844559585,0.9941709844559585,0.005667098445595855,0.00016191709844559586,0.0,0.0,0.00473056720105669,0.9941709844559585,0.05584574412230817,0.0011334196891191709,0.0,0.000684372552299406,0.1344249648251164,0.0011334196891191709,0.7168373944391914,0.71403961300649,2858,0.49384715025906734,0.17770897832817337,0.6057882043411532,0.9919504643962849,0.9949572462179347
cell:mlm_tapt/must,0.2,6176,1615,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02800032024903384,0.0,0.0,0.000684372552299406,0.1344249648251164,0.0,0.7168373944391914,0.71403961300649,2863,0.49384715025906734,0.17770897832817337,0.6057882043411532,1.0,1.0
cell:mlm_tapt/must,0.35,6176,1615,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01600018299944791,0.0,0.0,0.000684372552299406,0.1344249648251164,0.0,0.7168373944391914,0.71403961300649,2863,0.49384715025906734,0.17770897832817337,0.6057882043411532,1.0,1.0
cell:mlm_tapt/must,0.5,6176,1615,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.011200128099613536,0.0,0.0,0.000684372552299406,0.1344249648251164,0.0,0.7168373944391914,0.71403961300649,2863,0.49384715025906734,0.17770897832817337,0.6057882043411532,1.0,1.0
cell:mlm_tapt/must,0.7,6176,1615,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008000091499723956,0.0,0.0,0.000684372552299406,0.1344249648251164,0.0,0.7168373944391914,0.71403961300649,2863,0.49384715025906734,0.17770897832817337,0.6057882043411532,1.0,1.0
cell:mlm_tapt/shall,0.1,6226,1621,0.9934147124959846,0.9934147124959846,0.006424670735624799,0.00016061676839062,0.0,0.0,0.00515235400087713,0.9934147124959846,0.055977214936665444,0.0008030838419530999,0.0,0.0,0.12015053336697216,0.0008030838419530999,0.7324911701132195,0.7340559338915603,2780,0.5115644073241247,0.16533004318322023,0.633441910966341,0.9913633559531153,0.9941368078175896
cell:mlm_tapt/shall,0.2,6226,1621,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02804559919385969,0.0,0.0,0.0,0.12015053336697216,0.0,0.7324911701132195,0.7340559338915603,2783,0.5115644073241247,0.16533004318322023,0.633441910966341,1.0,1.0
cell:mlm_tapt/shall,0.35,6226,1621,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.016026056682205535,0.0,0.0,0.0,0.12015053336697216,0.0,0.7324911701132195,0.7340559338915603,2783,0.5115644073241247,0.16533004318322023,0.633441910966341,1.0,1.0
cell:mlm_tapt/shall,0.5,6226,1621,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.011218239677543875,0.0,0.0,0.0,0.12015053336697216,0.0,0.7324911701132195,0.7340559338915603,2783,0.5115644073241247,0.16533004318322023,0.633441910966341,1.0,1.0
cell:mlm_tapt/shall,0.7,6226,1621,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008013028341102768,0.0,0.0,0.0,0.12015053336697216,0.0,0.7324911701132195,0.7340559338915603,2783,0.5115644073241247,0.16533004318322023,0.633441910966341,1.0,1.0
cell:nice/must,0.1,6203,1613,0.9964533290343383,0.9964533290343383,0.003385458649040787,0.00016121231662098983,0.0,0.0,0.002663793086004699,0.9964533290343383,0.05016465047528276,0.00016121231662098983,0.0,0.001252250380783293,0.11366931454522558,0.00016121231662098983,0.7070068628126321,0.7112261216396732,2955,0.4694502660003224,0.1568505889646621,0.5793028322440087,0.9962802231866088,0.9965141612200435
cell:nice/must,0.2,6203,1613,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025093343546963666,0.0,0.0,0.001252250380783293,0.11366931454522558,0.0,0.7070068628126321,0.7112261216396732,2955,0.4694502660003224,0.1568505889646621,0.5793028322440087,1.0,1.0
cell:nice/must,0.35,6203,1613,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014339053455407811,0.0,0.0,0.001252250380783293,0.11366931454522558,0.0,0.7070068628126321,0.7112261216396732,2955,0.4694502660003224,0.1568505889646621,0.5793028322440087,1.0,1.0
cell:nice/must,0.5,6203,1613,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010037337418785467,0.0,0.0,0.001252250380783293,0.11366931454522558,0.0,0.7070068628126321,0.7112261216396732,2955,0.4694502660003224,0.1568505889646621,0.5793028322440087,1.0,1.0
cell:nice/must,0.7,6203,1613,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.007169526727703906,0.0,0.0,0.001252250380783293,0.11366931454522558,0.0,0.7070068628126321,0.7112261216396732,2955,0.4694502660003224,0.1568505889646621,0.5793028322440087,1.0,1.0
cell:nice/shall,0.1,6223,1610,0.9955005624296963,0.9955005624296963,0.0044994375703037125,0.0,0.0,0.0,0.003568402161880861,0.9955005624296963,0.049614759645847,0.0001606941989394183,0.0,0.0,0.10955161707016514,0.0001606941989394183,0.7172701237254154,0.7285855663107098,2768,0.5090792222400772,0.1701863354037267,0.6273574680251464,0.9968944099378882,0.9950140906134837
cell:nice/shall,0.2,6223,1610,0.9998393058010606,0.9998393058010606,0.0001606941989394183,0.0,0.0,0.0,0.00011600965689978504,0.9998393058010606,0.024815054270191834,0.0,0.0,0.0,0.10955161707016514,0.0,0.7172701237254154,0.7285855663107098,2768,0.5090792222400772,0.1701863354037267,0.6273574680251464,1.0,0.999783221331021
cell:nice/shall,0.35,6223,1610,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014180031011538193,0.0,0.0,0.0,0.10955161707016514,0.0,0.7172701237254154,0.7285855663107098,2768,0.5090792222400772,0.1701863354037267,0.6273574680251464,1.0,1.0
cell:nice/shall,0.5,6223,1610,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009926021708076735,0.0,0.0,0.0,0.10955161707016514,0.0,0.7172701237254154,0.7285855663107098,2768,0.5090792222400772,0.1701863354037267,0.6273574680251464,1.0,1.0
cell:nice/shall,0.7,6223,1610,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.007090015505769097,0.0,0.0,0.0,0.10955161707016514,0.0,0.7172701237254154,0.7285855663107098,2768,0.5090792222400772,0.1701863354037267,0.6273574680251464,1.0,1.0
