model,arm,stratum,run_id,batch_size,batch_order,n,n_failed,n_text_readable,label_accuracy,strict_text_strengthening,strict_text_strengthening_ci_low,strict_text_strengthening_ci_high,strict_text_strengthening_seed_ci_low,strict_text_strengthening_seed_ci_high,broad_text_strengthening,broad_text_strengthening_ci_low,broad_text_strengthening_ci_high,broad_text_strengthening_seed_ci_low,broad_text_strengthening_seed_ci_high,bootstrap_ci_cluster_field,weak_strict_text_strengthening_90
qwen3.5-9b,shuffled_4,all,full-20260912-103746-3637efc2,4,shuffled,720,0,720,0.7388888888888889,0.14444444444444443,0.11385416666666667,0.17777777777777778,0.12361111111111112,0.1625,0.5597222222222222,0.5041666666666667,0.6139236111111112,0.5319444444444444,0.5875,batch_id,
qwen3.5-9b,single,weak_intent,full-20260912-103443-9aa424a0,1,grouped,180,0,180,0.0,0.9833333333333333,0.9611111111111111,1.0,0.9611111111111111,1.0,1.0,1.0,1.0,1.0,1.0,item_id,0.9833333333333333
qwen3.5-9b,grouped,weak_intent,full-20260912-103906-115d172d,16,grouped,180,0,180,1.0,0.0,0.0,0.0,0.0,0.0,0.28888888888888886,0.15555555555555556,0.4222222222222222,0.2222222222222222,0.35555555555555557,batch_id,0.0
qwen3.5-9b,grouped_4,weak_intent,full-20260912-103624-6ab5145f,4,grouped,180,0,180,1.0,0.005555555555555556,0.0,0.016805555555555428,0.0,0.016805555555555428,0.15555555555555556,0.10555555555555556,0.20569444444444432,0.10555555555555556,0.20569444444444432,batch_id,0.005555555555555556
qwen3.5-9b,shuffled,weak_intent,full-20260912-104023-1d4eb309,16,shuffled,180,0,180,0.32222222222222224,0.3888888888888889,0.23423665223665224,0.5533205082608554,0.32222222222222224,0.4612499999999999,0.7277777777777777,0.5786385182584269,0.8715194508788663,0.6666666666666666,0.7888888888888889,batch_id,0.3888888888888889
qwen3.5-9b,shuffled_4,weak_intent,full-20260912-103746-3637efc2,4,shuffled,180,0,180,0.05,0.5611111111111111,0.46745562130177515,0.6559405476369091,0.48333333333333334,0.6333333333333333,0.9222222222222223,0.8770793624712455,0.9619565217391305,0.8833333333333333,0.9611111111111111,batch_id,0.5166666666666667
qwen3.6-27b,single,all,full-20260912-023708-03c57d9b,1,grouped,720,0,720,0.7625,0.25,0.21944444444444444,0.28059027777777773,0.25,0.25,0.25,0.21944444444444444,0.28059027777777773,0.25,0.25,item_id,
qwen3.6-27b,grouped,all,full-20260912-024737-9035907c,16,grouped,720,0,720,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch_id,
qwen3.6-27b,grouped_4,all,full-20260912-024118-0cc89ccd,4,grouped,720,0,720,1.0,0.001388888888888889,0.0,0.004166666666666667,0.0,0.004166666666666667,0.001388888888888889,0.0,0.004166666666666667,0.0,0.004166666666666667,batch_id,
qwen3.6-27b,shuffled,all,full-20260912-025044-bf2b977a,16,shuffled,720,0,720,0.9513888888888888,0.0763888888888889,0.04027777777777778,0.11531249999999997,0.06107638888888889,0.09305555555555556,0.0763888888888889,0.04027777777777778,0.11531249999999997,0.06107638888888889,0.09305555555555556,batch_id,
qwen3.6-27b,shuffled_4,all,full-20260912-024426-f8dd082b,4,shuffled,720,0,720,0.9583333333333334,0.15,0.11385416666666667,0.18611111111111112,0.13194444444444445,0.16666666666666666,0.15,0.11385416666666667,0.18611111111111112,0.13194444444444445,0.16666666666666666,batch_id,
qwen3.6-27b,single,weak_intent,full-20260912-023708-03c57d9b,1,grouped,180,0,180,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,1.0
