model,item_context,stratum,run_id,n,n_text_readable,label_accuracy,strict_text_strengthening,strict_text_strengthening_ci_low,strict_text_strengthening_ci_high,strict_text_strengthening_seed_ci_low,strict_text_strengthening_seed_ci_high,broad_text_strengthening,broad_text_strengthening_ci_low,broad_text_strengthening_ci_high,broad_text_strengthening_seed_ci_low,broad_text_strengthening_seed_ci_high,bootstrap_ci_cluster_field,weak_strict_text_strengthening_90,estimate_cohort,n_failed_items,n_unclassified_items
glm-5.3,bare,modality_optional,full-20260912-150752-31b933cd,180,180,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
glm-5.3,document,modality_optional,full-20260912-152522-d815b750,180,180,0.9833333333333333,0.005555555555555556,0.0,0.016666666666666666,0.0,0.016666666666666666,0.005555555555555556,0.0,0.016666666666666666,0.0,0.016666666666666666,item_id,,full_arm_descriptive,0,0
glm-5.3,bare,modality_nice_to_have,full-20260912-150752-31b933cd,180,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,,full_arm_descriptive,0,0
glm-5.3,document,modality_nice_to_have,full-20260912-152522-d815b750,180,180,0.8833333333333333,0.9666666666666667,0.9388888888888889,0.9888888888888889,0.9388888888888889,0.9888888888888889,0.9666666666666667,0.9388888888888889,0.9888888888888889,0.9388888888888889,0.9888888888888889,item_id,,full_arm_descriptive,0,0
glm-5.3,bare,marker_M/modality_mandatory,full-20260912-150752-31b933cd,155,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
glm-5.3,document,marker_M/modality_mandatory,full-20260912-152522-d815b750,155,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
glm-5.3,bare,marker_M/modality_recommended,full-20260912-150752-31b933cd,155,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
glm-5.3,document,marker_M/modality_recommended,full-20260912-152522-d815b750,155,153,0.9673202614379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,2,0
glm-5.3,bare,marker_M/modality_optional,full-20260912-150752-31b933cd,155,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
glm-5.3,document,marker_M/modality_optional,full-20260912-152522-d815b750,155,155,0.9806451612903225,0.0064516129032258064,0.0,0.01935483870967742,0.0,0.01935483870967742,0.0064516129032258064,0.0,0.01935483870967742,0.0,0.01935483870967742,item_id,,full_arm_descriptive,0,0
glm-5.3,bare,marker_M/modality_nice_to_have,full-20260912-150752-31b933cd,155,155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,,full_arm_descriptive,0,0
glm-5.3,document,marker_M/modality_nice_to_have,full-20260912-152522-d815b750,155,155,0.9612903225806452,0.9612903225806452,0.9290322580645162,0.9870967741935484,0.9290322580645162,0.9870967741935484,0.9612903225806452,0.9290322580645162,0.9870967741935484,0.9290322580645162,0.9870967741935484,item_id,,full_arm_descriptive,0,0
glm-5.3,bare,marker_O/modality_mandatory,full-20260912-150752-31b933cd,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
glm-5.3,document,marker_O/modality_mandatory,full-20260912-152522-d815b750,25,25,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
glm-5.3,bare,marker_O/modality_recommended,full-20260912-150752-31b933cd,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
glm-5.3,document,marker_O/modality_recommended,full-20260912-152522-d815b750,25,25,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
glm-5.3,bare,marker_O/modality_optional,full-20260912-150752-31b933cd,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
glm-5.3,document,marker_O/modality_optional,full-20260912-152522-d815b750,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
glm-5.3,bare,marker_O/modality_nice_to_have,full-20260912-150752-31b933cd,25,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,,full_arm_descriptive,0,0
glm-5.3,document,marker_O/modality_nice_to_have,full-20260912-152522-d815b750,25,25,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,,full_arm_descriptive,0,0
gpt-oss-20b,bare,all,full-20260913-042902-897f853b,720,528,0.8041666666666667,0.35795454545454547,0.3149852312914516,0.3996271510516252,0.337860252463615,0.3813254563910121,0.42234848484848486,0.3790425824175824,0.46326155462184876,0.3937149780953906,0.45298335660993155,item_id,,full_arm_descriptive,0,192
gpt-oss-20b,document,all,full-20260913-043057-a054d8f4,720,707,0.8736111111111111,0.41725601131541723,0.378025823863181,0.45455187467899333,0.3974472578042513,0.4364561108047851,0.41725601131541723,0.378025823863181,0.45455187467899333,0.3974472578042513,0.4364561108047851,item_id,,full_arm_descriptive,0,13
gpt-oss-20b,bare,weak_intent,full-20260913-042902-897f853b,180,165,0.21666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,0.8787878787878788,full_arm_descriptive,0,15
